playerid,version_date,name,age,team,drc_warp,drc_plus,drc_sd,drc_raa,brr,fraa,g,pa,ab,r,h,b1,b2,b3,hr,rbi,sb,cs,bb,so,hbp,tb,avg,obp,slg,ops,iso,babip,salary
17287,36800,Mark Lewis,30,BAL,-0.4,69,11,-6.6,-3.3,-0.2,71,178,163,19,44,25,17,0,2,21,7,2,12,31,1,67,0.27,0.322,0.411,0.733,0.141,0.321,600000
761,36800,Juan Castro,28,CIN,-0.4,61,12,-11.5,-0.1,-2.3,82,244,224,20,54,36,12,2,4,23,0,2,14,33,0,82,0.241,0.283,0.366,0.649,0.125,0.265,400000
1078,36800,Milton Bradley,22,MON,-0.4,59,12,-8.5,-1.2,-0.3,42,171,154,20,34,23,8,1,2,15,2,1,14,32,1,50,0.221,0.288,0.325,0.613,0.104,0.264,#N/A
17627,36800,Kevin Sefcik,29,PHI,-0.4,62,13,-7.8,-1,-0.5,99,171,153,15,36,28,6,2,0,10,4,2,13,19,2,46,0.235,0.3,0.301,0.601,0.065,0.265,475000
30701,36800,Devon White,37,LAN,-0.4,78,12,-4.1,-0.8,-5.1,47,168,158,26,42,32,5,1,4,13,3,6,9,30,1,61,0.266,0.31,0.386,0.696,0.12,0.306,4000000
844,36800,Greg Norton,27,CHA,-0.4,80,11,-4.9,0.6,-6.8,71,231,201,25,49,36,6,1,6,28,1,0,26,47,2,75,0.244,0.333,0.373,0.706,0.129,0.287,285000
946,36800,John Mabry,29,SDN,-0.4,69,12,-4.8,-1.9,-0.6,48,129,123,17,28,13,8,0,7,25,0,0,5,38,0,57,0.228,0.256,0.463,0.719,0.236,0.266,1850000
48,36800,Jose Vizcaino,32,NYA,-0.4,63,11,-8.5,-1,-1.2,73,191,174,23,48,39,8,1,0,10,5,7,12,28,0,58,0.276,0.319,0.333,0.652,0.057,0.324,3500000
17412,36800,Mickey Morandini,34,PHI,-0.4,65,8,-14.2,1.8,-2.6,91,341,302,31,76,60,13,3,0,22,5,2,29,54,4,95,0.252,0.324,0.315,0.639,0.063,0.305,750000
167,36800,Miguel Cairo,26,TBA,-0.5,72,10,-13.3,5.3,-9.2,119,417,375,49,98,77,18,2,1,34,28,7,29,34,2,123,0.261,0.314,0.328,0.642,0.067,0.281,295000
